,name,avg_rating,num_of_reviews,latitude,longitude,restaurante_categoria,state_name,total_population,hispanic_population,avg_income
0,casa malinche,4.4,7,40.581086,-73.960139,restaurante mexicano,New York,19664161,3559667,59272.35
4,cowboy burgers & bbq,3.7,38,34.0799951,-117.9889514,restaurante mexicano,California,38773436,14744533,63364.21
14,caliente cab co,3.6,36,40.745304,-73.978768,restaurante mexicano,New York,19664161,3559667,59272.35
28,mijita,3.4,8,37.7781747,-122.3907248,restaurante mexicano,California,38773436,14744533,63364.21
33,michael's grill,3.1,56,32.935225599999995,-96.8896271,restaurante mexicano,Texas,27337059,10704104,50373.87
48,el rico chamoy,4.7,38,32.8098057,-97.2394571,restaurante mexicano,Texas,27337059,10704104,50373.87
66,pupuseria alicia,4.7,28,29.8227738,-95.5256832,restaurante centroamericano,Texas,27337059,10704104,50373.87
71,la pasadita taqueria y antojitos,3.7,8,29.8328385,-95.5456268,restaurante mexicano,Texas,27337059,10704104,50373.87
76,tu esquina sabrosa,4.6,15,28.1284549,-81.6148446,restaurante puertorriqueño,Florida,20158603,4695397,48321.24
83,la superior panaderia,4.3,30,34.0545417,-118.2767675,restaurante mexicano,California,38773436,14744533,63364.21
100,taco shack,4.0,18,33.943177,-117.990859,restaurante mexicano,California,38773436,14744533,63364.21
112,the island coffee,4.2,8,25.1048678,-80.4310241,restaurante cubano,Florida,20158603,4695397,48321.24
116,jk fast food & fruit,4.9,54,26.178313,-80.2542131,restaurante colombiano,Florida,20158603,4695397,48321.24
129,tremendo taco,4.0,28,27.5753412,-99.4732209,restaurante mexicano,Texas,27337059,10704104,50373.87
140,día de los tacos nyc,4.6,8,40.7792805,-73.9155677,restaurante mexicano,New York,19664161,3559667,59272.35
145,taqueria mexico d.f.,4.1,18,41.7309779,-88.2977678,restaurante mexicano,Illinois,12829297,2113775,53467.05
148,la vega,4.0,8,40.7023054,-73.8127452,restaurante mexicano,New York,19664161,3559667,59272.35
151,speedy stop,2.8,18,30.56146,-97.67868,restaurante mexicano,Texas,27337059,10704104,50373.87
161,taco bueno,2.3,25,33.519318,-101.9554248,restaurante mexicano,Texas,27337059,10704104,50373.87
172,tacos dos primos,4.7,35,37.7442557,-122.1698268,restaurante mexicano,California,38773436,14744533,63364.21
182,hangout tacos,4.7,68,32.8723438,-97.291843,restaurante mexicano,Texas,27337059,10704104,50373.87
205,el guero 2,4.2,28,32.8422236,-116.9868341,restaurante mexicano,California,38773436,14744533,63364.21
218,nanitos deli,4.3,98,40.7245722,-73.3597333,restaurante ecuatoriano,New York,19664161,3559667,59272.35
255,taqueria benitez,4.4,15,30.4475211,-97.8043573,restaurante mexicano,Texas,27337059,10704104,50373.87
260,taqueria el güero (de nuevo laredo),4.6,88,27.539505,-99.510202,restaurante mexicano,Texas,27337059,10704104,50373.87
295,baja fresh,4.0,5,33.320630099999995,-111.9915054,restaurante mexicano,Arizona,6707875,2030951,45892.43
296,crown catering texas,4.4,58,32.9317923,-97.2993955,restaurante mexicano,Texas,27337059,10704104,50373.87
318,mj cafe,4.6,8,33.996811699999995,-118.1481783,restaurante mexicano,California,38773436,14744533,63364.21
320,nikki's roti shop,4.5,8,40.6752558,-73.81403,restaurante caribeño,New York,19664161,3559667,59272.35
